user_id,attempt,recent_attempt,CF,recent_CF,u_bloom_score,u_3PL_score,u_recent_CF,CR,LI,LG,type
6436,430.0,0.0,0.9209302325581395,0.0,167.5,145.6767054444,0.0,100.0,79.43529411764706,1621.0,repeat
6437,399.0,0.0,0.8897243107769424,0.0,135.5,119.6671065416,0.0,95.47058823529412,71.32941176470588,2181.0,repeat
6438,422.0,0.0,0.7630331753554502,0.0,103.0,79.09014667710001,0.0,99.01176470588236,46.0,4168.0,repeat
6443,51.0,0.0,0.6274509803921569,0.0,6.0,4.0507826757,0.0,22.753246753246753,30.584415584415584,1087.0,repeat
6445,29.0,0.0,0.6896551724137931,0.0,6.5,2.7571937122,0.0,8.155844155844155,51.701298701298704,234.0,repeat
6446,70.0,0.0,0.7571428571428571,0.0,10.5,14.3945708675,0.0,19.415584415584416,57.116883116883116,561.0,repeat
6447,47.0,0.0,0.7659574468085106,0.0,15.0,8.5521636754,0.0,16.441558441558442,53.142857142857146,533.0,repeat
6449,115.0,0.0,0.8608695652173913,0.0,34.5,32.0772028636,0.0,43.20779220779221,75.63636363636364,727.0,repeat
6450,51.0,0.0,0.49019607843137253,0.0,0.5,-1.8243930066000005,0.0,25.636363636363637,29.142857142857142,1235.0,repeat
6451,31.0,0.0,0.12903225806451613,0.0,-10.5,-11.0931057368,0.0,18.883116883116884,32.83116883116883,881.0,repeat
6452,158.0,0.0,0.45569620253164556,0.0,2.0,-11.443545647,0.0,44.87012987012987,31.07792207792208,2260.0,repeat
6453,33.0,0.0,0.9393939393939394,0.0,16.0,13.5275206537,0.0,15.0,75.0,71.0,repeat
6454,40.0,0.0,0.925,0.0,20.0,12.6296856764,0.0,19.0,85.0,83.0,repeat
6455,172.0,0.0,0.9593023255813954,0.0,68.5,63.1242947425,0.0,60.0,94.07792207792208,262.0,repeat
6456,58.0,0.0,0.6206896551724138,0.0,14.5,3.1671202933,0.0,16.428571428571427,40.58441558441559,631.0,repeat
6457,44.0,0.0,0.45454545454545453,0.0,0.0,-1.3678045498999998,0.0,9.441558441558442,38.285714285714285,425.0,repeat
6458,41.0,0.0,0.8048780487804879,0.0,12.0,9.1263084507,0.0,9.233766233766234,87.01298701298701,160.0,repeat
6459,99.0,0.0,0.8080808080808081,0.0,37.5,27.7974745842,0.0,13.922077922077921,54.896103896103895,453.0,repeat
6461,295.0,0.0,0.3254237288135593,0.0,-53.0,-49.613909472,0.0,50.34285714285714,8.533333333333333,6635.0,repeat
6462,14.0,0.0,0.7142857142857143,0.0,4.0,2.5958151049,0.0,10.876190476190477,68.9047619047619,432.0,repeat
6463,315.0,0.0,0.6761904761904762,0.0,48.5,33.0855291153,0.0,72.51428571428572,43.7047619047619,5931.0,repeat
6464,90.0,0.0,0.37777777777777777,0.0,-7.0,-10.4802024883,0.0,20.98095238095238,30.60952380952381,1796.0,repeat
6465,56.0,0.0,0.5,0.0,-2.0,-3.8921346132,0.0,18.21904761904762,42.38095238095238,1370.0,repeat
6467,49.0,0.0,0.7142857142857143,0.0,8.0,8.5064392029,0.0,24.0,53.0,265.0,repeat
6468,26.0,0.0,0.6923076923076923,0.0,10.5,3.5174623583,0.0,15.342857142857143,44.00952380952381,1062.0,repeat
6469,129.0,0.0,0.7906976744186046,0.0,36.5,30.229799705599998,0.0,29.942857142857143,52.19047619047619,2014.0,repeat
6470,115.0,0.0,0.4,0.0,-7.0,-12.7536786459,0.0,26.104761904761904,32.838095238095235,2291.0,repeat
6474,37.0,0.0,0.5405405405405406,0.0,3.0,-0.9452122484000003,0.0,7.40952380952381,39.847619047619055,599.0,repeat
6476,158.0,0.0,0.6392405063291139,0.0,24.5,15.6787809769,0.0,27.704761904761906,47.46666666666667,2243.0,repeat
6477,100.0,0.0,0.36,0.0,-12.5,-13.9169389312,0.0,19.066666666666666,36.65714285714286,1922.0,repeat
6479,5.0,0.0,0.2,0.0,-2.0,-1.1711937724,0.0,1.0,0.0,0.0,new
6482,475.0,0.0,0.5978947368421053,0.0,32.0,11.508109305899996,0.0,59.03738317757009,53.90654205607478,3376.0,repeat
6486,41.0,0.0,0.2926829268292683,0.0,-3.0,-7.8101368326000005,0.0,4.813084112149534,6.355140186915888,651.0,repeat
6487,258.0,0.0,0.748062015503876,0.0,65.5,40.203896111599995,0.0,20.289719626168225,27.55140186915888,1761.0,repeat
6488,50.0,0.0,0.6,0.0,1.5,0.7225582166999996,0.0,8.83177570093458,13.850467289719626,662.0,repeat
6491,43.0,0.0,0.3488372093023256,0.0,-7.0,-8.3134994232,0.0,9.0,23.0,641.0,repeat
6492,62.0,0.0,0.5806451612903226,0.0,7.5,2.9155923432,0.0,8.813084112149532,18.429906542056074,972.0,repeat
6493,43.0,0.0,0.7906976744186046,0.0,13.0,10.6845506654,0.0,9.0,38.0,505.0,repeat
6494,125.0,0.0,0.984,0.0,65.0,39.6476961699,0.0,5.0,50.0,10.0,repeat
6495,104.0,0.0,0.7596153846153846,0.0,22.0,22.5234436137,0.0,18.177570093457945,52.99065420560747,1157.0,repeat
6496,43.0,0.0,0.6511627906976745,0.0,5.0,4.3149094276,0.0,13.177570093457945,56.19626168224299,865.0,repeat
6497,427.0,0.0,0.22482435597189696,0.0,-140.0,-95.366255693,0.0,36.691588785046726,5.08411214953271,5315.0,repeat
6499,331.0,0.0,0.7220543806646526,0.0,76.0,42.0095016663,0.0,40.29203539823009,47.5929203539823,2684.0,repeat
6501,63.0,0.0,0.746031746031746,0.0,18.5,13.8142324861,0.0,21.52212389380531,30.938053097345133,1420.0,repeat
6502,115.0,0.0,0.6434782608695652,0.0,8.5,13.2735288376,0.0,39.70796460176991,17.185840707964605,4242.0,repeat
6503,206.0,0.0,0.7912621359223301,0.0,64.5,37.4586844574,0.0,26.106194690265482,6.769911504424779,2726.0,repeat
6504,13.0,0.0,0.8461538461538461,0.0,4.0,3.2178541254,0.0,4.0,75.0,0.0,repeat
6505,154.0,0.0,0.7337662337662337,0.0,38.5,27.8944591412,0.0,46.54867256637168,66.42477876106194,2280.0,repeat
6506,1.0,0.0,0.0,0.0,0.0,-0.4734113585,0.0,3.4070796460176993,30.088495575221238,317.0,new
6507,6.0,0.0,0.5,0.0,1.5,-0.5023360628000001,0.0,3.0,25.0,159.0,new
6508,17.0,0.0,0.47058823529411764,0.0,-1.0,-0.5427687076,0.0,6.9734513274336285,16.327433628318584,586.0,repeat
6509,12.0,0.0,0.25,0.0,-2.0,-3.5881055757,0.0,10.221238938053098,40.2212389380531,906.0,repeat
6510,15.0,0.0,0.6,0.0,2.5,0.9879153552000002,0.0,2.9911504424778763,26.68141592920354,226.0,repeat
6511,7.0,0.0,0.14285714285714285,0.0,-1.5,-1.4808170887999998,0.0,10.0,40.0,567.0,new
6512,6.0,0.0,0.3333333333333333,0.0,0.5,-0.9267210426999999,0.0,1.0,0.0,91.0,new
6513,60.0,0.0,0.45,0.0,0.0,-3.7162916867,0.0,35.56637168141593,12.0,4451.0,repeat
6514,47.0,0.0,0.6808510638297872,0.0,5.5,3.8956104712,0.0,11.5929203539823,47.0,904.0,repeat
6516,7.0,0.0,0.8571428571428571,0.0,3.0,1.7229640479,0.0,19.0,25.0,607.0,new
6518,150.0,0.0,0.34,0.0,-9.5,-21.3119266745,0.0,44.58904109589041,15.821917808219178,2229.0,repeat
6519,3.0,0.0,0.0,0.0,-2.0,-1.5235344917,0.0,12.602739726027398,4.602739726027397,679.0,new
6522,32.0,0.0,0.375,0.0,-3.5,-6.1174749964999995,0.0,9.328767123287673,15.534246575342467,429.0,repeat
6524,131.0,0.0,0.4732824427480916,0.0,-2.5,-4.595228569,0.0,40.35616438356164,18.47945205479452,1920.0,repeat
6525,153.0,0.0,0.5163398692810458,0.0,7.5,-2.7844452128999992,0.0,30.671232876712327,36.41095890410959,1257.0,repeat
6527,21.0,0.0,0.3333333333333333,0.0,-4.0,-3.1613961754,0.0,10.0,12.0,263.0,repeat
6528,22.0,0.0,0.45454545454545453,0.0,2.0,-1.5849969651,0.0,9.0,14.000000000000004,221.0,repeat
6529,62.0,0.0,0.27419354838709675,0.0,-15.0,-13.9263056185,0.0,23.0,0.0,725.0,repeat
6530,118.0,0.0,0.2796610169491525,0.0,-21.0,-26.5537862209,0.0,43.0,0.0,1355.0,repeat
6531,35.0,0.0,0.34285714285714286,0.0,-4.5,-6.7776511378999995,0.0,12.0,0.0,347.0,repeat
6532,204.0,0.0,0.7549019607843137,0.0,34.5,39.5940027575,0.0,65.84931506849315,58.35616438356164,1675.0,repeat
6533,40.0,0.0,0.575,0.0,8.0,0.9548023933,0.0,13.0,50.0,179.0,repeat
6534,7.0,0.0,0.8571428571428571,0.0,3.0,2.1017432111,0.0,4.0,67.0,11.0,new
